"Winner","University","odds","name","Team","Mascot"
"Murray State","MurrayState",0.230769230769231,"Team1","MurrayState_Racers","Racers"
"Navy","Navy",0.666666666666667,NA,NA,NA
"Nevada","Nevada",0.8,NA,NA,NA
"Nevada-Las Vegas","Nevada-LasVegas",1.71428571428571,NA,NA,NA
"New Mexico","NewMexico",0.5,NA,NA,NA
"New Mexico State","NewMexicoState",0.25,"Team2","NewMexicoState_Aggies","Aggies"
"New Orleans","NewOrleans",0.25,NA,NA,NA
"Niagara","Niagara",0.5,NA,NA,NA
"Norfolk State","NorfolkState",1,"Team2","NorfolkState_Spartans","Spartans"
"North Carolina","NorthCarolina",3.15384615384615,"Team1","NorthCarolina_TarHeels","TarHeels"
"North Carolina A&T","NorthCarolinaA&T",0.142857142857143,NA,NA,NA
"North Carolina State","NorthCarolinaState",1.26666666666667,NA,NA,NA
"North Carolina-Asheville","NorthCarolina-Asheville",0.5,NA,NA,NA
"North Carolina-Wilmington","NorthCarolina-Wilmington",0.2,NA,NA,NA
"North Dakota State","NorthDakotaState",0.333333333333333,NA,NA,NA
"Northern Iowa","NorthernIowa",0.625,NA,NA,NA
"Northwestern State","NorthwesternState",0.666666666666667,NA,NA,NA
"Notre Dame","NotreDame",0.941176470588235,"Team2","NotreDame_FightingIrish","FightingIrish"
"Oakland","Oakland",0.333333333333333,NA,NA,NA
"Ohio","Ohio",0.6,NA,NA,NA
"Ohio State","OhioState",1.77777777777778,"Team1","OhioState_Buckeyes","Buckeyes"
"Oklahoma","Oklahoma",1.45833333333333,NA,NA,NA
"Oklahoma State","OklahomaState",1.27777777777778,NA,NA,NA
"Old Dominion","OldDominion",0.333333333333333,NA,NA,NA
"Oregon","Oregon",1.3,NA,NA,NA
"Pacific, California","Pacific,California",0.4,NA,NA,NA
"Pennsylvania","Pennsylvania",0.0833333333333333,NA,NA,NA
"Pennsylvania State","PennsylvaniaState",0.75,NA,NA,NA
"Pepperdine","Pepperdine",0.142857142857143,NA,NA,NA
"Pittsburgh","Pittsburgh",1,NA,NA,NA
"Princeton","Princeton",0.2,NA,NA,NA
"Providence","Providence",0.8,"Team1","Providence_Friars","Friars"
"Purdue","Purdue",1.1304347826087,"Team1","Purdue_Boilermakers","Boilermakers"
"Rhode Island","RhodeIsland",1.2,NA,NA,NA
"Richmond","Richmond",0.75,"Team2","Richmond_Spiders","Spiders"
"Robert Morris","RobertMorris",0.166666666666667,NA,NA,NA
"San Diego","SanDiego",0.333333333333333,NA,NA,NA
"San Diego State","SanDiegoState",0.666666666666667,"Team1","SanDiegoState_Aztecs","Aztecs"
"Santa Clara","SantaClara",0.5,NA,NA,NA
"Seton Hall","SetonHall",1.5,"Team1","SetonHall_Pirates","Pirates"
"Siena","Siena",0.666666666666667,NA,NA,NA
"South Alabama","SouthAlabama",0.166666666666667,NA,NA,NA
"South Florida","SouthFlorida",0.666666666666667,NA,NA,NA
"Southern","Southern",0.125,NA,NA,NA
"Southern California","SouthernCalifornia",0.636363636363636,"Team1","SouthernCalifornia_Trojans","Trojans"
"Southern Illinois","SouthernIllinois",0.555555555555556,NA,NA,NA
"Southern Methodist","SouthernMethodist",0.5,NA,NA,NA
"St. John's, New York","St.John's,NewYork",1.07142857142857,NA,NA,NA
"St. Joseph's, Pennsylvania","St.Joseph's,Pennsylvania",1,NA,NA,NA
"St. Louis","St.Louis",0.714285714285714,NA,NA,NA
"St. Mary's, California","St.Mary's,California",0.428571428571429,NA,NA,NA
"Stanford","Stanford",1.25,NA,NA,NA
"Stephen F. Austin","StephenF.Austin",0.5,NA,NA,NA
"Syracuse","Syracuse",2.08,NA,NA,NA
"Temple","Temple",1.04347826086957,NA,NA,NA
"Tennessee","Tennessee",1.16666666666667,"Team1","Tennessee_Volunteers","Volunteers"
"Texas","Texas",1.16,"Team1","Texas_Longhorns","Longhorns"
"Texas A&M","TexasA&M",1,NA,NA,NA
"Texas Christian","TexasChristian",0.5,NA,NA,NA
"Texas Tech","TexasTech",0.555555555555556,"Team1","TexasTech_RedRaiders","RedRaiders"
"Texas-El Paso","Texas-ElPaso",0.5,NA,NA,NA
